t,pitch_angle,yaw_angle,err_x_px,err_y_px,u_yaw_dps,u_pitch_dps,score,src
52.99064803123474,12.9,-22.7,30.596648809584167,51.995886257880045,5.648571144344312,-9.70587939024402,0.5,blob
53.348413944244385,9.1,-20.8,25.312821726229686,40.44732606762204,4.534335349201514,-7.292958901173956,0.5,blob
53.7058424949646,6.3,-19.4,14.878334122049296,21.390761943954317,2.502511802037339,-3.5905481886776904,0.5,blob
54.0654022693634,3.8,-18.0,3.0209171793320593,-6.046004736429666,0.2722896686649775,1.5997381829112387,0.5,blob
54.42498707771301,3.4,-17.5,-9.936403833434156,-34.37990307867926,-2.1236658683725422,6.839249610204998,0.5,blob
54.767460107803345,5.7,-18.2,-25.00866249173214,-57.52193700114151,-4.909048850891219,11.019758194225986,0.5,blob
55.126251220703125,9.8,-19.9,-32.705630619625936,-61.364259050741964,-6.218648759235373,11.43574298579295,0.5,blob
55.483296155929565,14.6,-22.1,-25.808659902756858,-46.01176838298227,-4.73575501713827,8.266480849115435,0.5,blob
55.82939958572388,18.1,-23.8,-15.900628936791918,-17.83264944893847,-2.7851267416471233,2.7990311204380203,0.5,blob
56.17319178581238,19.6,-24.8,-1.935408808914758,14.658777858189978,-0.1276184523268178,-3.31329606750073,0.5,blob
56.515817403793335,18.8,-24.9,11.691984274205424,42.95320560782346,2.39339206843435,-8.47980923815915,0.5,blob
56.855931520462036,15.9,-24.2,21.07478977823348,58.36958364508524,4.055922457166425,-11.106494236872807,0.5,blob
57.1958646774292,11.9,-22.9,23.323613355851762,57.36522936930544,4.343099155937485,-10.611128167055746,0.5,blob
57.52373671531677,8.1,-21.5,20.76034868130364,41.31239909004853,3.7510231478189797,-7.334676604329454,0.5,blob
57.86335277557373,4.9,-20.1,14.019226642847343,14.603059408531578,2.4122559627353315,-2.184917918878069,0.5,blob
58.22153186798096,3.6,-19.1,0.012497317850829859,-18.683011384454517,-0.2681562123841229,4.0499591076402375,0.5,blob
58.5653600692749,4.8,-19.1,-7.3418767433970515,-43.293957399895476,-1.583218136066007,8.496014676073317,0.5,blob
58.92504405975342,7.5,-19.6,-12.647219883208095,-55.44107230993205,-2.5009475566680757,10.50275002169146,0.5,blob
59.266618967056274,11.1,-20.5,-19.595692924085256,-53.36169700145581,-3.7614606494052873,9.840119224599725,0.5,blob
59.59495830535889,14.7,-21.6,-15.537200400655365,-36.43510305094628,-2.872485833514578,6.4221230309207895,0.5,blob
59.93575620651245,17.4,-22.7,-13.94918026042592,-10.90781698311514,-2.5461442021659955,1.5246188069069349,0.5,blob
60.27862024307251,18.6,-23.6,-4.166967169276859,17.934918960975153,-0.6456461755465953,-3.865263247626587,0.5,blob
60.61894702911377,17.6,-23.9,5.341471339969985,40.70769732463384,1.1330171165960046,-7.978493530303228,0.5,blob
60.94436526298523,15.0,-23.6,12.921956370980524,52.010003261012,2.5081834632390905,-9.860059415287813,0.5,blob
61.272154569625854,11.4,-22.8,17.149271641137375,50.081502119657785,3.222800856705842,-9.234225052904577,0.5,blob
61.62947940826416,8.2,-21.8,2.047026566739305,16.627976377777543,0.2052331900740556,-2.63431763474261,0.5,blob
61.94596886634827,7.1,-21.6,6.405567268380537,-0.3918153544445886,1.1205362447739131,0.5194639367947469,0.5,blob
62.258716344833374,7.0,-21.2,5.388618724447383,-16.529679980389005,0.9178196359487424,3.459017352421116,0.5,blob
62.5840539932251,7.8,-21.0,3.8526021708908047,-28.244291987252836,0.6241965992233195,5.507713058540783,0.5,blob
62.89602184295654,9.3,-20.8,-0.9958085889209087,-32.358789791714344,-0.3112815010027119,6.104811983888469,0.5,blob
63.222907066345215,11.3,-20.8,-4.847275582798602,-29.083213364614323,-1.0172752716811917,5.3278517168481905,0.5,blob
63.53591990470886,13.1,-21.1,-10.15072912881908,-20.304088686999307,-2.0043048914281028,3.563958216520212,0.5,blob
63.83210587501526,14.4,-21.7,-6.422973933732351,-6.197657646549544,-1.2018987900473772,0.8349420568467979,0.5,blob
64.1419141292572,14.8,-22.1,-3.4749330569260337,8.746522529742776,-0.6209097109632805,-1.9533520702407956,0.5,blob
64.45145106315613,14.4,-22.3,0.1912935129980724,20.03523964433282,0.07588435519302139,-3.9761407985797366,0.5,blob
64.76505446434021,13.3,-22.3,-1.1006592165513212,22.29790576881635,-0.21808763361757233,-4.232946525153455,0.5,blob
65.07390689849854,12.0,-22.3,2.6095715092416185,23.06863874973061,0.4998047971570133,-4.2732063051420335,0.5,blob
65.38787961006165,10.7,-22.2,5.896221481007046,18.669615187324894,1.1088470276578672,-3.349844320167844,0.5,blob
65.71312022209167,9.4,-21.9,7.5075439626546085,10.035249871761152,1.3801908034564665,-1.6672391076051345,0.5,blob
66.01927208900452,8.7,-21.5,7.504903575725507,-0.477087583355285,1.3456617149125658,0.32831605743559195,0.5,blob
66.3169367313385,8.6,-21.1,6.103187324221608,-10.285106929180927,1.0528905647265157,2.13879007204658,0.5,blob
66.614511013031,9.1,-20.7,3.2670717607439883,-17.185319503967605,0.49805635202222337,3.3548934416391427,0.5,blob
66.95212817192078,10.0,-20.5,-2.601403355516368,-20.270457677578918,-0.6198286052597286,3.827428415629444,0.5,blob
67.2820360660553,11.2,-20.6,-4.490912181085605,-18.075797490426282,-0.9325508689616465,3.3122971846655216,0.5,blob
67.60900354385376,12.5,-20.9,-5.369092917705643,-11.74926836877711,-1.0618224728251384,2.050077909048693,0.5,blob
67.91893029212952,13.3,-21.3,-4.88991039650864,-2.5620244397051124,-0.9400731774393289,0.28306847214164865,0.5,blob
68.24389743804932,13.6,-21.6,-3.353441757730593,6.559684114191668,-0.6298840100071498,-1.4078764914349042,0.5,blob
68.5731680393219,13.3,-21.8,-16.879737142524846,-4.13620532577545,-3.277344314281974,0.7958737615791711,0.5,blob
68.88647484779358,13.7,-22.7,-14.296829142641172,3.086466538245986,-2.672336504493997,-0.6428099775041753,0.5,blob
69.19653081893921,13.9,-23.6,-4.217938942716728,12.331203249859868,-0.6666876056654875,-2.410314553044833,0.5,blob
69.52385759353638,13.2,-23.9,5.658339687234047,18.69028211240891,1.1953467582192459,-3.5551501593805477,0.5,blob
69.83640003204346,12.1,-23.6,13.477920796702165,20.723683373065796,2.619585732335917,-3.8569983537380903,0.5,blob
70.14614534378052,10.5,-22.8,17.685648517856407,17.84539419249279,3.3284971631194953,-3.228060992436981,0.5,blob
70.486337184906,9.3,-21.8,16.92067153660662,9.32450622512033,3.0876975550325256,-1.5601450181481942,0.5,blob
70.79821348190308,8.4,-20.7,12.92343649879433,-1.6390709536717623,2.2639182657455965,0.5311181976221222,0.5,blob
71.09204506874084,8.3,-20.1,7.175233724216241,-12.440396119886657,1.1433816602978393,2.5426396204988455,0.5,blob
71.3848922252655,8.9,-19.7,-15.636098079259455,-38.18625747792635,-3.2978118929157696,7.467248798295543,0.5,blob
